shortcode,emoji
time_0600,🕕
time_0700,🕖
time_0800,🕗
time_0900,🕘
time_1000,🕙
time_1100,🕚
time_1200,🕛
time_0230,🕝
time_0330,🕞
time_0430,🕟
time_0530,🕠
time_0630,🕡
time_0730,🕢
time_0830,🕣
time_0930,🕤
time_1030,🕥
time_1130,🕦
time_1230,🕧

white_flag,🏳️
black_flag,🏴
checard_flag,🏁
red_triangle_flag,🚩
queer_flag,🏳️‍🌈
rainbow_flag,🏳️‍🌈
lgbt_flag,🏳️‍🌈
trans_flag,🏳️‍⚧️
pirate_flag,🏴‍☠️
flag_af,🇦🇫
flag_ax,🇦🇽
flag_al,🇦🇱
flag_dz,🇩🇿
flag_as,🇦🇸
flag_ad,🇦🇩
flag_ao,🇦🇴
flag_ai,🇦🇮
flag_aq,🇦🇶
flag_ag,🇦🇬
flag_ar,🇦🇷
flag_am,🇦🇲
flag_aw,🇦🇼
flag_au,🇦🇺
flag_at,🇦🇹
flag_az,🇦🇿
flag_bs,🇧🇸
flag_bh,🇧🇭
flag_bd,🇧🇩
flag_bb,🇧🇧
flag_by,🇧🇾
flag_be,🇧🇪
flag_bz,🇧🇿
flag_bj,🇧🇯
flag_bm,🇧🇲
flag_bt,🇧🇹
flag_bo,🇧🇴
flag_ba,🇧🇦
flag_bw,🇧🇼
br_flag,🇧🇷
flag_io,🇮🇴
flag_vg,🇻🇬
flag_bn,🇧🇳
flag_bg,🇧🇬
flag_bf,🇧🇫
flag_bi,🇧🇮
flag_kh,🇰🇭
flag_cm,🇨🇲
flag_ca,🇨🇦
flag_ic,🇮🇨
flag_cv,🇨🇻
flag_bq,🇧🇶
flag_ky,🇰🇾
flag_cf,🇨🇫
flag_td,🇹🇩
flag_cl,🇨🇱
flag_cn,🇨🇳
flag_cx,🇨🇽
flag_cc,🇨🇨
flag_co,🇨🇴
flag_km,🇰🇲
flag_cg,🇨🇬
flag_cd,🇨🇩
flag_ck,🇨🇰
flag_cr,🇨🇷
flag_ie,🇨🇮
flag_hr,🇭🇷
flag_cu,🇨🇺
flag_cw,🇨🇼
flag_cy,🇨🇾
flag_cz,🇨🇿
flag_dk,🇩🇰
flag_dj,🇩🇯
flag_dm,🇩🇲
flag_do,🇩🇴
🇪🇨 🇪🇬 🇸🇻 🇬🇶 🇪🇷 🇪🇪 🇪🇹
flag_eu,🇪🇺
🇫🇰 🇫🇴 🇫🇯 🇫🇮 🇫🇷 🇬🇫 🇵🇫 🇹🇫 🇬🇦 🇬🇲 🇬🇪 🇩🇪 🇬🇭 🇬🇮 🇬🇷 🇬🇱 🇬🇩 🇬🇵 🇬🇺 🇬🇹 🇬🇬 🇬🇳 🇬🇼 🇬🇾 🇭🇹 🇭🇳 🇭🇰 🇭🇺 🇮🇸 🇮🇳 🇮🇩 🇮🇷 🇮🇶 🇮🇪 🇮🇲 🇮🇱 🇮🇹 🇯🇲 
flag_jp,🇯🇵
🎌 🇯🇪 🇯🇴 🇰🇿 🇰🇪 🇰🇮 🇽🇰 🇰🇼 🇰🇬 🇱🇦 🇱🇻 🇱🇧 🇱🇸 🇱🇷 🇱🇾 🇱🇮 🇱🇹 🇱🇺 🇲🇴 🇲🇰 🇲🇬 🇲🇼 🇲🇾 🇲🇻 🇲🇱 🇲🇹 🇲🇭 🇲🇶 🇲🇷 🇲🇺 🇾🇹 🇲🇽 🇫🇲 🇲🇩 🇲🇨 🇲🇳 🇲🇪 🇲🇸 🇲🇦 🇲🇿 🇲🇲 🇳🇦 🇳🇷 🇳🇵 🇳🇱 🇳🇨 🇳🇿 🇳🇮 🇳🇪 🇳🇬 🇳🇺 🇳🇫 🇰🇵 🇲🇵 🇳🇴 🇴🇲 🇵🇰 🇵🇼 🇵🇸 🇵🇦 🇵🇬 🇵🇾 🇵🇪 🇵🇭 🇵🇳 🇵🇱 🇵🇹 🇵🇷 🇶🇦 🇷🇪 🇷🇴 🇷🇺 🇷🇼 🇼🇸 🇸🇲 🇸🇦 🇸🇳 🇷🇸 🇸🇨 🇸🇱 🇸🇬 🇸🇽 🇸🇰 🇸🇮 🇬🇸 🇸🇧 🇸🇴 🇿🇦 🇰🇷 🇸🇸 🇪🇸 🇱🇰 🇧🇱 🇸🇭 🇰🇳 🇱🇨 🇵🇲 🇻🇨 🇸🇩 🇸🇷 🇸🇿 
flag_se,🇸🇪
🇨🇭 🇸🇾 🇹🇼 🇹🇯 🇹🇿 🇹🇭 🇹🇱 🇹🇬 🇹🇰 🇹🇴 🇹🇹 🇹🇳 🇹🇷 🇹🇲 🇹🇨 🇹🇻 🇻🇮 🇺🇬 🇺🇦 🇦🇪 🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🏴󠁧󠁢󠁷󠁬󠁳󠁿 
flag_un,🇺🇳
flag_us,🇺🇸
🇺🇾 🇺🇿 🇻🇺 🇻🇦 🇻🇪 🇻🇳 🇼🇫 🇪🇭 🇾🇪 🇿🇲 🇿🇼 
